T1 fixation
1.018008:-2,1139;
1.034396:4,1128;
1.051108:4,1128;
1.066565:46,1072;
1.084429:64,1050;
1.101304:60,1035;
1.11755:60,1035;
1.134413:60,1035;
1.151744:60,1035;
1.168864:60,1035;
1.184866:60,1035;
1.201601:60,1035;
1.219175:60,1035;
1.23595:60,1035;
1.252039:60,1035;
1.268645:60,1035;
1.284734:60,1035;
1.301161:60,1035;
1.316639:60,1035;
1.333201:60,1035;
1.34941:60,1035;
1.367719:60,1035;
1.384683:60,1035;
1.401111:60,1035;
1.418002:60,1035;
1.435186:60,1035;
1.451944:60,1035;
1.469078:60,1035;
1.485236:60,1035;
1.501786:60,1035;
1.518607:198,773;
1.533561:198,773;
1.551332:274,728;
1.569478:301,708;
1.585825:301,708;
1.601938:325,683;
1.618873:348,639;
1.635296:348,639;
1.651803:348,639;
1.66756:348,639;
1.684741:348,639;
1.700816:348,639;
1.716299:348,639;
1.734368:348,639;
1.749817:348,639;
1.769104:348,639;
1.785653:348,639;
1.801793:348,639;
1.819097:348,639;
1.835935:348,639;
1.850168:348,639;
1.867933:348,639;
1.883142:348,639;
1.900046:348,639;
1.917377:348,639;
1.934813:348,639;
1.950011:80,1165;
1.966148:68,1136;
1.984639:68,1136;
2.000808:56,1123;
2.016686:56,1123;
2.033919:56,1123;
2.051369:56,1123;
2.06869:56,1123;
2.084869:56,1123;
2.101994:56,1123;
2.118394:56,1123;
2.135406:56,1123;
2.151555:56,1123;
2.166504:56,1123;
2.183249:56,1123;
2.199702:56,1123;
2.2171:56,1123;
2.234373:56,1123;
2.249907:56,1123;
2.266065:56,1123;
2.285745:133,825;
2.30124:224,763;
2.317983:245,781;
2.33584:260,789;
2.351637:260,789;
2.368088:262,790;
2.385181:261,781;
2.401332:261,781;
2.417006:215,793;
2.43396:215,793;
2.449518:215,793;
2.46669:230,820;
2.484994:237,835;
2.501795:237,835;
2.518521:237,835;
2.534712:237,835;
2.550883:237,835;
2.568092:237,835;
2.584798:237,835;
2.599665:237,835;
2.617034:237,835;
2.633296:237,835;
2.649731:237,835;
2.666446:237,835;
2.68315:237,835;
2.700348:237,835;
2.718919:237,835;
2.736992:237,835;
2.751784:237,835;
2.769056:237,835;
2.785724:237,835;
2.802078:237,835;
2.818141:237,835;
2.833235:237,835;
2.850111:-113,1235;
2.866282:-85,1253;
2.884876:-85,1253;
