T1 fixation
0.8012185:110,922;
0.8166884:107,928;
0.8332158:101,940;
0.8501118:101,940;
0.8671159:75,991;
0.882854:84,970;
0.8998467:68,975;
0.9177672:78,961;
0.9337722:83,961;
0.950743:78,979;
0.9666976:81,974;
0.9834104:90,958;
1.000559:90,958;
1.016261:103,929;
1.034085:103,929;
1.050712:89,949;
1.066828:96,934;
1.083845:78,970;
1.100487:79,968;
1.116526:83,958;
1.13407:71,977;
1.14969:71,977;
1.166778:73,972;
1.184458:71,975;
1.19989:78,955;
1.217007:65,981;
1.234078:67,975;
1.250535:71,964;
1.266754:65,979;
1.283772:66,973;
1.300183:66,973;
1.316837:57,986;
1.33316:56,987;
1.349939:73,986;
1.366883:76,985;
1.383572:72,984;
1.400091:77,970;
1.416563:78,962;
1.433753:76,957;
1.450181:76,957;
1.466959:75,958;
1.484514:79,956;
1.500373:74,963;
1.517103:77,958;
1.533729:76,961;
1.550174:78,958;
1.56719:72,967;
1.583325:68,976;
1.599757:68,976;
1.61687:70,978;
1.634374:70,978;
1.649879:72,973;
1.666819:79,972;
1.68358:81,971;
1.700315:74,967;
1.717342:76,976;
1.733302:75,974;
1.75024:75,974;
1.767372:71,975;
1.783442:74,962;
1.799739:77,963;
1.817102:78,958;
1.833611:79,959;
1.850504:80,958;
1.867167:80,957;
1.883147:82,955;
1.899808:82,955;
1.917597:81,959;
1.935372:80,969;
1.949986:86,973;
1.966776:84,963;
1.984218:82,962;
1.99988:82,963;
2.017017:81,962;
2.0336:80,960;
2.050433:80,960;
2.067531:81,958;
2.083376:81,960;
2.099866:83,957;
2.117604:89,955;
2.13373:89,953;
2.150833:86,954;
2.167035:86,961;
2.183387:85,960;
2.200808:85,960;
2.217155:83,967;
2.233453:84,965;
2.250311:82,967;
2.267541:83,964;
2.283459:83,963;
2.300322:83,954;
2.317357:82,956;
2.33355:84,951;
2.350463:84,951;
2.366874:79,950;
2.383816:79,951;
2.400633:80,945;
2.417477:78,951;
2.433841:76,946;
2.450805:79,942;
2.46696:81,940;
2.483596:86,936;
2.500005:86,936;
2.517362:98,923;
2.534161:98,925;
2.551883:90,930;
2.566669:88,931;
2.583872:81,939;
2.600351:85,934;
2.616491:78,944;
2.633919:84,940;
2.651659:84,940;
2.667173:85,939;
2.683735:90,934;
2.700435:89,935;
2.716757:84,944;
2.733932:79,951;
2.750207:79,964;
2.766543:80,964;
2.783735:78,965;
2.800133:78,965;
2.817094:78,965;
2.833185:78,964;
2.850166:78,964;
2.867292:80,963;
2.883152:83,964;
2.900208:84,960;
2.916996:85,958;
2.933487:79,960;
2.95009:79,960;
2.967115:84,956;
2.983612:74,962;
3.0002:77,957;
3.016959:82,950;
3.03406:81,951;
3.050453:81,951;
3.066961:86,952;
3.083058:86,951;
3.100245:86,951;
3.11685:80,955;
3.133225:81,958;
3.150223:76,965;
3.166507:77,964;
3.183559:77,964;
3.200131:71,965;
3.217401:71,965;
3.233401:74,963;
3.250022:74,963;
3.266813:83,951;
3.2829:85,950;
3.299932:74,956;
3.317787:70,959;
3.334125:66,964;
3.350717:67,966;
3.367058:68,965;
3.38359:69,972;
3.400329:69,972;
3.417416:70,972;
3.434504:68,968;
3.45032:74,955;
3.467473:73,954;
3.483534:68,959;
3.500441:72,951;
3.517271:65,961;
3.533175:67,958;
3.550368:67,958;
3.566963:66,959;
3.582866:72,953;
3.599957:69,954;
3.616304:70,951;
3.633167:73,947;
3.649923:69,953;
3.666801:71,954;
3.683565:73,950;
3.700427:73,950;
3.716835:87,937;
3.733152:77,952;
3.749988:78,955;
3.766652:89,940;
3.783246:74,974;
3.800582:73,976;
3.81678:79,963;
3.833899:65,960;
3.850301:65,960;
3.866655:66,958;
3.884524:72,962;
3.899878:89,941;
3.91714:79,956;
3.934115:79,956;
3.950622:80,952;
3.9674:74,955;
3.983024:74,955;
4.000731:74,955;
4.016767:68,960;
4.033074:76,954;
4.049706:79,959;
4.066943:82,957;
4.084017:82,958;
4.10032:82,957;
4.116456:80,955;
4.133625:78,953;
4.1503:78,953;
4.167123:76,955;
4.183059:75,955;
4.199656:75,959;
4.216336:67,961;
4.233535:63,968;
4.250205:61,965;
4.266875:62,960;
4.283319:63,963;
4.300127:63,963;
4.316389:64,961;
4.333574:61,964;
4.349851:58,968;
4.367374:32,983;
4.383769:34,982;
4.400447:40,975;
4.417252:45,968;
4.433593:49,967;
4.449975:49,967;
4.467587:43,962;
4.483006:47,966;
4.49986:49,974;
4.517278:52,973;
4.533343:57,966;
4.550717:57,970;
4.566772:56,970;
4.58311:56,972;
4.600659:56,972;
4.616255:50,975;
4.632881:50,975;
4.650399:50,974;
4.666704:54,970;
4.683446:54,970;
4.699734:61,958;
4.71636:59,961;
4.733344:59,961;
4.750149:59,961;
4.766742:65,952;
4.783887:61,972;
4.799657:73,967;
4.817581:71,974;
4.833517:69,982;
4.850042:73,974;
4.866646:58,1002;
4.883245:60,998;
4.900521:60,998;
4.916421:61,996;
4.932839:67,988;
4.949941:64,996;
4.967067:62,1002;
4.982991:66,988;
5.0003:59,994;
5.01646:59,990;
5.033262:56,990;
5.050386:56,990;
5.066272:53,988;
5.083719:51,995;
5.101549:55,983;
5.118779:55,984;
5.133015:55,985;
5.149721:55,984;
5.166796:58,982;
5.183451:61,982;
5.200087:61,982;
5.216207:63,982;
5.234113:63,982;
5.249722:67,984;
5.266446:65,985;
5.283865:59,989;
5.300128:56,981;
5.317294:47,994;
5.333789:50,991;
5.350285:50,991;
5.366877:50,991;
5.382754:49,976;
5.399661:49,976;
5.416395:49,976;
5.43317:51,977;
5.449748:51,977;
5.466393:49,973;
5.483253:48,974;
5.5:48,974;
5.516479:62,961;
5.532834:64,960;
5.549713:52,973;
5.567765:46,977;
5.58286:46,977;
5.599919:40,986;
5.616761:40,987;
5.633197:40,987;
5.649585:40,987;
5.667197:40,991;
5.683015:40,994;
5.699658:39,1004;
5.717402:39,1004;
5.733467:38,1007;
5.750264:35,1009;
5.766666:35,1009;
5.783261:33,1009;
5.80075:33,1009;
5.816381:33,1009;
T11 fixation
7.417672:96,526;
7.432897:91,534;
7.449492:91,534;
7.466308:93,531;
7.483491:97,525;
7.49963:102,517;
7.516447:94,526;
7.533234:94,524;
7.550142:99,520;
7.56629:93,530;
7.583412:98,527;
7.599681:98,527;
7.616364:99,527;
7.632688:105,513;
7.649477:99,517;
7.666665:101,514;
7.682783:99,510;
7.699804:85,521;
7.716655:86,520;
7.732905:91,517;
7.750123:91,517;
7.76597:94,517;
7.783401:90,526;
7.799806:87,528;
7.816666:94,517;
7.83296:85,528;
7.849591:87,526;
7.866397:86,523;
7.882946:76,523;
7.899531:76,523;
7.916156:72,523;
7.933076:72,523;
7.949132:79,514;
7.96645:72,516;
7.983025:72,516;
7.999741:76,516;
8.016247:77,517;
8.032941:78,518;
8.049675:78,518;
8.066372:82,519;
8.082899:91,520;
8.099459:97,524;
8.116898:96,522;
8.132714:97,521;
8.149745:97,526;
8.166224:97,525;
8.183562:93,522;
8.199688:93,522;
8.216393:92,515;
8.232679:89,522;
8.249464:81,524;
8.266442:81,522;
8.282987:81,526;
8.299523:83,528;
8.316257:78,528;
8.332891:76,533;
8.349667:76,533;
8.36674:80,530;
8.383035:80,530;
8.399601:75,531;
8.416427:75,533;
8.432917:72,535;
8.449742:74,531;
8.466343:74,532;
8.482817:80,531;
8.499719:80,531;
8.516635:89,535;
8.532701:90,533;
8.549767:82,542;
8.56641:76,536;
8.582937:79,537;
8.599689:73,539;
8.616358:74,544;
8.632844:75,543;
8.650317:75,543;
8.666332:78,540;
8.682438:81,540;
8.699787:81,540;
8.716332:78,533;
8.732759:76,534;
8.749574:75,531;
8.766354:75,530;
8.782885:74,531;
8.799687:74,531;
8.816341:78,540;
8.834381:78,540;
8.849342:81,536;
8.866412:80,537;
8.882999:79,535;
8.899994:80,533;
8.917411:75,536;
8.932901:72,536;
8.949754:72,536;
8.966804:68,535;
8.983112:70,529;
8.999388:72,533;
9.016442:71,532;
9.032629:75,524;
9.04983:77,523;
9.066194:78,520;
9.082997:78,523;
9.099684:78,523;
9.116347:84,520;
9.132961:88,518;
9.14983:91,521;
9.166346:94,517;
9.182951:86,531;
9.19965:83,527;
9.216232:82,524;
9.232903:83,526;
9.249566:83,526;
9.266356:81,525;
9.283264:80,527;
9.299653:82,519;
9.316545:69,527;
9.333741:65,523;
9.349834:68,517;
9.366101:71,521;
9.382939:71,521;
9.400019:71,521;
9.416287:67,521;
9.432821:66,522;
9.449792:64,528;
9.466389:63,527;
9.483013:58,524;
9.4997:59,524;
9.516198:57,523;
9.532924:56,523;
9.54975:56,523;
9.566364:59,518;
9.582539:71,512;
9.599673:68,512;
9.616376:61,516;
9.63287:60,516;
9.649645:62,515;
9.666198:63,514;
9.682964:59,518;
9.699581:59,518;
9.716475:60,515;
9.734115:57,516;
9.749614:58,515;
9.76633:56,515;
