id;scenario;sexe;age;main;couleur;accuite;Ïil_dir;lunettes;pb;taille;haut_corps;poids
1;123;1;23;1;1;10;1;1;1;170;80;85
2;213;1;28;1;2;10;1;0;0;183;94;82,5
3;312;2;22;1;1;10;1;0;0;171;86;52
4;132;1;24;1;1;10;1;0;0;167;71;67
5;231;1;28;1;1;10;1;1;1;169;72;68
6;321;2;23;1;4;10;1;0;0;155;55;46
7;123;1;20;1;3;10;2;0;0;187;90;95
8;213;2;22;2;1;10;1;0;;170;86;55
9;312;1;21;1;1;10;2;0;;168;84;65
10;132;1;23;2;1;9;2;0;;193;90;115
11;231;1;23;1;1;10;2;0;;188;100;76
12;321;2;22;1;3;10;1;0;;159;80;55
13;123;2;20;1;3;10;2;0;;167;83;67
14;213;2;23;1;1;10;1;1;1;153;73;55
15;312;2;21;1;1;10;1;0;;159;72;58
16;132;1;21;1;1;10;1;0;;167;78;64
17;231;2;21;1;2;9;2;2;1;165;80;55
18;321;1;21;1;3;10;1;0;;185;92;68
20;213;2;21;2;1;10;2;2;1;152;74;38
21;312;2;19;1;3;10;1;2;1;170;86;65
22;132;1;20;2;3;10;2;0;;185;89;80
23;231;1;20;1;2;10;2;0;;179;91;77
24;321;2;20;1;2;10;2;0;;163;83;56
25;123;2;22;2;1;10;2;2;1;170;79;60
26;213;1;24;1;1;10;1;0;;195;96;90
27;312;1;25;1;1;9;1;2;1;185;87;80
